No,Line,Tray,Time_Start,Time_End,Remarks1,Time_Start2,Time_End2,Remark2,Early,Late,Difference,Callus
384,3_2,16,16:12,,,17:00,,,16:12:00,17:00:00,0:48:00,1
385,3_2,17,16:29,,,,,,16:29:00,16:29:00,0:00:00,5
386,3_2,18,15:25,,,,,,15:25:00,15:25:00,0:00:00,
387,3_2,19,,,,17:17,,,17:17:00,17:17:00,0:00:00,5
388,3_2,20,,,,,,,,,,4
389,3_2,21,17:02,,,17:32,,,17:02:00,17:32:00,0:30:00,4
390,3_2,22,17:00,,,16:54,,,16:54:00,17:00:00,0:06:00,3
391,3_2,23,17:05,,,17:08,,,17:05:00,17:08:00,0:03:00,5
392,3_2,1,15:38,,,,,,15:38:00,15:38:00,0:00:00,3
393,3_2,2,17:22,,,,,,17:22:00,17:22:00,0:00:00,5
394,3_2,3,,,,,,,,,,3
395,3_2,4,15:39,,,,,,15:39:00,15:39:00,0:00:00,5
396,3_3,5,15:59,,,15:48,,,15:48:00,15:59:00,0:11:00,3
397,3_3,6,15:12,,,15:46,,,15:12:00,15:46:00,0:34:00,5
398,3_3,7,16:26,,,,,,16:26:00,16:26:00,0:00:00,3
399,3_3,8,16:06,,,,,,16:06:00,16:06:00,0:00:00,3
400,3_3,9,,,,,,,,,,5
401,3_3,10,16:00,,,17:03,,,16:00:00,17:03:00,1:03:00,2
402,3_3,11,16:01,,,,,,16:01:00,16:01:00,0:00:00,5
403,3_3,12,16:07,,,,,,16:07:00,16:07:00,0:00:00,5
404,3_3,13,,,,17:47,,,17:47:00,17:47:00,0:00:00,4
405,3_3,14,14:36,,,,,,14:36:00,14:36:00,0:00:00,
406,3_3,15,16:01,,,17:21,,,16:01:00,17:21:00,1:20:00,5
407,3_3,16,15:54,,,,,,15:54:00,15:54:00,0:00:00,5
408,3_3,17,17:25,,,,,,17:25:00,17:25:00,0:00:00,5
409,3_3,18,17:15,,,,,,17:15:00,17:15:00,0:00:00,5
410,3_3,19,,,,16:53,,,16:53:00,16:53:00,0:00:00,5
,1_1,,15:05,,,,,,,,,2
,1_1,,15:10,,,,,,,,,1
,1_1,,15:16,,,,,,,,,5
,1_1,,15:40,,,,,,,,,5
,1_1,,15:40,,,,,,,,,5
,1_1,,15:47,,,,,,,,,3
,1_1,,15:47,,,,,,,,,1
,1_1,,15:56,,,,,,,,,2
,1_1,,15:56,,,,,,,,,2
,1_1,,15:56,,,,,,,,,2
,1_1,,15:56,,,,,,,,,1
,1_1,,15:56,,,,,,,,,2
,1_1,,16:07,,,,,,,,,5
,1_1,,16:07,,,,,,,,,2
,1_1,,16:23,,,,,,,,,2
,1_1,,16:23,,,,,,,,,1
,1_1,,16:23,,,,,,,,,5
,1_1,,16:23,,,,,,,,,5
,1_1,,16:23,,,,,,,,,5
,1_1,,16:23,,,,,,,,,1
,1_1,,16:27,,,,,,,,,5
,1_1,,16:27,,,,,,,,,4
,1_1,,16:31,,,,,,,,,1
,1_1,,16:31,,,,,,,,,4
,1_1,,16:39,,,,,,,,,2
,1_1,,16:39,,,,,,,,,4
,1_1,,16:47,,,,,,,,,5
,1_1,,16:47,,,,,,,,,3
,1_1,,16:47,,,,,,,,,4
,1_1,,16:47,,,,,,,,,3
,1_1,,16:56,,,,,,,,,2
,1_1,,16:56,,,,,,,,,4
,1_1,,17:05,,,,,,,,,5
,1_1,,17:05,,,,,,,,,5
,1_1,,17:10,,,,,,,,,5
,1_1,,17:20,,,,,,,,,5
,1_5,,14:34,,,,,,,,,5
,1_5,,14:40,,,,,,,,,4
,1_5,,14:42,,,,,,,,,3
,1_5,,15:04,,,,,,,,,4
,1_5,,15:04,,,,,,,,,3
,1_5,,15:04,,,,,,,,,4
,1_5,,15:42,,,,,,,,,4
,1_5,,15:42,,,,,,,,,4
,1_5,,15:42,,,,,,,,,4
,1_5,,15:42,,,,,,,,,2
,1_5,,15:53,,,,,,,,,4
,1_5,,15:54,,,,,,,,,4
,1_5,,16:05,,,,,,,,,2
,1_5,,16:33,,,,,,,,,1
,1_5,,16:41,,,,,,,,,3
,1_5,,16:45,,,,,,,,,4
,1_5,,16:55,,,,,,,,,2
,1_5,,17:06,,,,,,,,,3
,R1,,15:42,,,,,,,,,5
,R1,,16:07,,,,,,,,,5
,R1,,16:07,,,,,,,,,5
,R1,,16:07,,,,,,,,,5
,R1,,16:07,,,,,,,,,5
,R1,,16:07,,,,,,,,,3
,R1,,16:25,,,,,,,,,5
,R1,,16:25,,,,,,,,,5
,R1,,16:25,,,,,,,,,4
,R1,,16:25,,,,,,,,,4
,R1,,16:25,,,,,,,,,5
,R1,,16:25,,,,,,,,,5
,R1,,16:33,,,,,,,,,1
,R1,,16:33,,,,,,,,,2
,R1,,16:33,,,,,,,,,5
,R1,,16:35,,,,,,,,,5
,R1,,16:38,,,,,,,,,5
,R1,,16:55,,,,,,,,,1
,R1,,17:20,,,,,,,,,5
,R1,,17:21,,,,,,,,,3
,R1,,17:23,,,,,,,,,4
,R2,,15:45,,,,,,,,,5
,R2,,15:45,,,,,,,,,5
,R2,,15:57,,,,,,,,,5
,R2,,15:57,,,,,,,,,3
,R2,,15:57,,,,,,,,,5
,R2,,16:33,,,,,,,,,4
,R2,,16:50,,,,,,,,,5
,R2,,16:50,,,,,,,,,5
,R2,,16:50,,,,,,,,,2
,R2,,16:50,,,,,,,,,5
,R2,,17:15,,,,,,,,,4
,R2,,17:15,,,,,,,,,5
,R3,,16:31,,,,,,,,,5
,R3,,16:41,,,,,,,,,5
,R3,,16:59,,,,,,,,,1
,R3,,17:00,,,,,,,,,5
